HDR,ROLLING SYSTEM DEMAND
VD,20211022000000,24168
VD,20211022000500,24228
VD,20211022001000,24239
VD,20211022001500,24202
VD,20211022002000,24109
VD,20211022002500,24060
VD,20211022003000,23994
VD,20211022003500,24052
VD,20211022004000,24221
VD,20211022004500,24223
VD,20211022005000,24181
VD,20211022005500,24116
VD,20211022010000,24185
VD,20211022010500,24179
VD,20211022011000,24197
VD,20211022011500,24251
VD,20211022012000,24077
VD,20211022012500,24036
VD,20211022013000,23935
VD,20211022013500,23935
VD,20211022014000,23913
VD,20211022014500,23904
VD,20211022015000,23860
VD,20211022015500,23741
VD,20211022020000,23587
VD,20211022020500,23816
VD,20211022021000,24059
VD,20211022021500,23980
VD,20211022022000,23885
VD,20211022022500,23778
VD,20211022023000,23758
VD,20211022023500,23774
VD,20211022024000,23766
VD,20211022024500,23668
VD,20211022025000,23630
VD,20211022025500,23818
VD,20211022030000,23754
VD,20211022030500,23683
VD,20211022031000,23512
VD,20211022031500,23428
VD,20211022032000,23471
VD,20211022032500,23491
VD,20211022033000,23437
VD,20211022033500,23491
VD,20211022034000,23518
VD,20211022034500,23477
VD,20211022035000,23542
VD,20211022035500,23599
VD,20211022040000,23562
VD,20211022040500,23282
VD,20211022041000,23319
VD,20211022041500,23331
VD,20211022042000,23430
VD,20211022042500,23527
VD,20211022043000,23539
VD,20211022043500,23731
VD,20211022044000,23919
VD,20211022044500,24112
VD,20211022045000,24421
VD,20211022045500,24762
VD,20211022050000,24853
VD,20211022050500,25661
VD,20211022051000,26200
VD,20211022051500,26254
VD,20211022052000,26521
VD,20211022052500,26905
VD,20211022053000,27096
VD,20211022053500,27453
VD,20211022054000,27727
VD,20211022054500,28008
VD,20211022055000,28574
VD,20211022055500,29073
VD,20211022060000,29541
VD,20211022060500,30362
VD,20211022061000,31285
VD,20211022061500,31781
VD,20211022062000,32290
VD,20211022062500,32693
VD,20211022063000,32779
VD,20211022063500,32883
VD,20211022064000,33117
VD,20211022064500,33344
VD,20211022065000,33568
VD,20211022065500,33860
VD,20211022070000,33944
VD,20211022070500,34066
VD,20211022071000,33747
VD,20211022071500,34175
VD,20211022072000,34341
VD,20211022072500,34341
VD,20211022073000,34383
VD,20211022073500,34312
VD,20211022074000,34279
VD,20211022074500,34243
VD,20211022075000,34383
VD,20211022075500,34550
VD,20211022080000,34549
VD,20211022080500,34495
VD,20211022081000,34538
VD,20211022081500,34693
VD,20211022082000,34692
VD,20211022082500,34640
VD,20211022083000,34614
VD,20211022083500,34512
VD,20211022084000,34475
VD,20211022084500,34664
VD,20211022085000,34604
VD,20211022085500,34892
VD,20211022090000,34898
VD,20211022090500,34917
VD,20211022091000,34681
VD,20211022091500,34519
VD,20211022092000,34381
VD,20211022092500,34245
VD,20211022093000,34204
VD,20211022093500,34147
VD,20211022094000,34014
VD,20211022094500,33891
VD,20211022095000,33858
VD,20211022095500,33788
VD,20211022100000,33606
VD,20211022100500,33354
VD,20211022101000,33340
VD,20211022101500,33212
VD,20211022102000,33206
VD,20211022102500,33207
VD,20211022103000,33215
VD,20211022103500,33098
VD,20211022104000,32120
VD,20211022104500,32216
VD,20211022105000,32907
VD,20211022105500,32772
VD,20211022110000,32848
VD,20211022110500,33031
VD,20211022111000,33277
VD,20211022111500,33389
VD,20211022112000,33277
VD,20211022112500,33256
VD,20211022113000,33177
VD,20211022113500,33240
VD,20211022114000,33240
VD,20211022114500,33228
VD,20211022115000,33205
VD,20211022115500,33012
VD,20211022120000,33011
VD,20211022120500,32988
VD,20211022121000,33057
VD,20211022121500,33018
VD,20211022122000,33014
VD,20211022122500,32790
VD,20211022123000,32705
VD,20211022123500,32714
VD,20211022124000,32682
VD,20211022124500,32695
VD,20211022125000,32759
VD,20211022125500,32606
VD,20211022130000,32572
VD,20211022130500,32567
VD,20211022131000,32554
VD,20211022131500,32606
VD,20211022132000,32668
VD,20211022132500,32686
VD,20211022133000,32705
VD,20211022133500,32781
VD,20211022134000,32971
VD,20211022134500,33091
VD,20211022135000,33251
VD,20211022135500,33266
VD,20211022140000,33288
VD,20211022140500,33500
VD,20211022141000,33598
VD,20211022141500,33691
VD,20211022142000,33820
VD,20211022142500,33948
VD,20211022143000,34001
VD,20211022143500,34041
VD,20211022144000,34143
VD,20211022144500,34316
VD,20211022145000,34421
VD,20211022145500,34491
